Mario Bros.	Atari 7800 [NA]
Mario Bros. - Arcade Classics Series (3 Screw Cartridge)	Nintendo Entertainment System [US]
Mario Paint	Super Nintendo [NA]
Mario's Tennis	Virtual Boy [NA]
Super Mario All-Stars	Super Nintendo [NA]
Super Mario Bros.  (5 Screw Cartridge)	Nintendo Entertainment System [US]
Super Mario Bros. / Duck Hunt (No Nintendo Seal of Quality)	Nintendo Entertainment System [US]
Super Mario Bros. 2 (No Nintendo Seal of Quality)	Nintendo Entertainment System [US]
Super Mario Bros. 3 (Bros. above Mario's Head)	Nintendo Entertainment System [US]
Super Mario Kart	Super Nintendo [NA]
Super Mario World	Super Nintendo [NA]
Super Mario World 2: Yoshi's Island	Super Nintendo [NA]
Donkey Kong	ColecoVision [NA]
Donkey Kong Country	Super Nintendo [NA]
Donkey Kong Jr. - Arcade Classics Series (3 Screw Cartridge)	Nintendo Entertainment System [US]
Donkey Kong Junior	ColecoVision [NA]
